ts,token,event_seq,symbol,tier,policy,side,frac_of_original,px,usd_proceeds,gap_s,note
1789219962.062182,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,*,buy,1.0,1.525066190816243e-22,-10.004962,0.0,"shared entry via kyber, impact 7.8709, reserve_weth ?; buy 0.00394022 WETH ($10.00) → 6.56e+22 raw via kyber impact 7.87%"
1789219962.062182,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,*,buy,1.0,4.0720041666413203e-14,-10.0,0.0,"shared entry via router, impact 0.3944, reserve_weth 4143938820988858824; buy 0.00394022 WETH ($10.00) → 2.46e+14 raw via router impact 0.39%"
1789219962.062182,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,*,buy,1.0,1.1068368487748218e-22,-10.004962,0.0,"shared entry via kyber, impact 100.0000, reserve_weth ?; buy 0.00394022 WETH ($10.00) → 9.04e+22 raw via kyber impact 100.00%"
1789220033.823502,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,ctl_exit_immediately,time_exit,1.0,1.5561585194451286e-22,10.208939,71.8,
1789220033.823502,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,ctl_exit_immediately,time_exit,1.0,4.1015045062239384e-14,10.072447,71.8,
1789220033.823502,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,ctl_exit_immediately,time_exit,1.0,9.838950565223855e-23,8.893662,71.8,
1789220166.8963578,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,stop_30,stop,1.0,6.336566090062438e-23,5.727773,66.7,
1789220166.8963578,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,trail_30,trail,1.0,6.336566090062438e-23,5.727773,66.7,
1789220166.8963578,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,tp2_half_trail30,trail,1.0,6.336566090062438e-23,5.727773,66.7,
1789220166.8963578,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,cfg_ladder_trail30_6h,trail,1.0,6.336566090062438e-23,5.727773,66.7,
1789220356.272643,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,trail_30,trail,1.0,1.6836562064931783e-22,11.045368,63.1,
1789220356.272643,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,tp2_half_trail30,trail,1.0,1.6836562064931783e-22,11.045368,63.1,
1789220356.272643,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,cfg_ladder_trail30_6h,trail,1.0,1.6836562064931783e-22,11.045368,63.1,
